in1,name,0-4_m,0-4_f,5-9_m,5-9_f,10-14_m,10-14_f,15-19_m,15-19_f,20-24_m,20-24_f,25-29_m,25-29_f,30-34_m,30-34_f,35-39_m,35-39_f,40-44_m,40-44_f,45-49_m,45-49_f,50-54_m,50-54_f,55-59_m,55-59_f,60-64_m,60-64_f,65-69_m,65-69_f,70-74_m,70-74_f,75-79_m,75-79_f,80-84_m,80-84_f,85-89_m,85-89_f,90-94_m,90-94_f,>95_m,>95_f
02001,Comuna 01,5926,5743,5079,5070,4973,4940,5737,5845,9721,9773,10698,10723,9690,9203,7785,7882,6317,6582,5804,6239,5793,6198,5046,5926,4526,5543,3610,4717,2616,3821,2040,3457,1564,2948,821,1990,285,888,66,301
02002,Comuna 02,3206,3014,2879,2817,2765,2721,3786,4453,7457,9597,7606,9080,6048,7058,4597,5319,3664,4604,3626,4736,3737,5160,3763,5483,3894,5597,3426,4968,2577,4246,2103,3598,1529,3436,951,2399,347,1164,81,440
02003,Comuna 03,5078,4811,4723,4504,4570,4416,5023,5188,7945,8578,8732,9062,8342,8442,6802,7431,5685,6213,5117,6062,4771,5998,4523,5908,3896,5689,3155,4940,2459,4161,2060,3874,1613,3458,803,2073,242,830,62,298
02004,Comuna 04,8013,7576,7613,7439,7696,7410,7880,7948,9079,9110,9074,9140,8637,9291,7650,8100,6656,7076,5731,6618,5490,6465,4990,5928,4174,5341,3303,4647,2651,3880,2182,3504,1381,3098,752,1674,177,658,37,176
02005,Comuna 05,4594,4412,4469,4190,4198,4097,4696,4694,6489,6809,7698,8250,7911,8558,6505,7397,5362,6054,4921,5831,4896,6052,4364,6008,4017,5733,3236,4995,2531,4192,2152,3785,1639,3570,833,2299,237,981,58,292
02006,Comuna 06,4577,4518,4201,4208,3844,3788,4234,4331,5597,6049,6743,7448,7442,8327,6558,7409,5192,6056,4956,5913,5059,6320,4677,6090,4339,5932,3491,5030,2634,4373,2308,3902,1707,3827,942,2363,303,993,66,329
02007,Comuna 07,7414,6954,6906,6727,6682,6518,7055,6983,8636,8925,8825,9011,8579,9176,7707,8042,6331,7153,5896,6876,5789,7069,5233,6567,4778,6155,3861,5253,3033,4549,2555,4328,1871,3993,975,2476,294,1037,61,318
02008,Comuna 08,8521,8233,7888,7664,7564,7363,7639,7806,8561,8862,8153,7929,7229,7452,6308,6695,5359,5765,4573,5174,4103,4579,3420,4147,2901,3928,2380,3336,1920,2875,1563,2518,931,1918,412,1003,104,353,16,92
02009,Comuna 09,5115,4976,5220,4975,5183,4802,5207,5237,5867,5805,5957,5977,6138,6203,5730,5969,5019,5322,4519,5133,4489,5004,4076,4837,3791,4550,3020,4136,2403,3600,2058,3509,1439,2981,742,1780,193,618,41,176
02010,Comuna 10,4687,4555,4857,4546,4407,4579,4986,4827,5753,5915,6096,6143,6341,6602,5771,6176,4863,5504,4890,5582,4976,5729,4458,5509,4169,5008,3168,4345,2617,3894,2213,3732,1628,3336,818,2085,234,779,40,204
02011,Comuna 11,5030,4869,5284,5140,5235,4808,5418,5312,6379,6120,7079,6892,7464,7667,6858,7222,5827,6553,5724,6371,5798,6507,5047,6367,4716,5995,3893,5126,2906,4485,2543,4274,1900,3896,1035,2527,276,956,57,276
02012,Comuna 12,5737,5584,5285,5191,4947,4785,5376,5224,6536,6492,7600,8043,8838,9450,7652,8308,6098,6679,5872,6608,5778,6788,5087,6386,4843,6268,4010,5358,3047,4639,2572,4373,1888,3789,1029,2386,270,938,62,300
02013,Comuna 13,6198,5825,5427,5223,5149,4861,5701,5587,7456,8099,8738,9998,9612,11018,8637,9831,6945,7999,6484,7594,6211,7911,5696,7917,5698,7953,4791,7008,3737,5665,3053,5343,2408,4789,1327,3186,454,1243,110,449
02014,Comuna 14,5327,5335,4679,4575,4441,4410,5355,5892,8849,10406,10103,11574,9834,10934,7915,9043,6573,7612,5962,7220,5807,7445,5593,7626,5341,7561,4628,6629,3523,5537,2789,4950,2212,4357,1214,2756,356,1137,80,390
02015,Comuna 15,4959,4851,4962,4631,4700,4649,5245,5016,6590,6670,7465,7757,8110,8473,6774,7253,5560,6253,5381,6213,5017,6082,4655,5809,4246,5533,3282,4673,2590,4012,2216,3742,1620,3344,806,2142,257,744,50,242
06028,Almirante Brown,24932,24320,24200,23333,25506,24676,25799,25138,24238,23909,21756,21664,20599,21121,17975,18595,15736,16591,14730,15754,13584,14604,12038,13235,9669,11275,7130,8932,5210,6995,3779,5535,2171,3957,904,2082,233,721,58,218
06035,Avellaneda,12347,12233,12279,12267,12320,12117,12684,12527,12910,13072,12702,13060,13233,13788,11560,12018,9842,10840,9416,10327,9325,10229,8436,9943,7459,8926,5794,7818,4564,6710,3562,5995,2446,4804,1075,2654,268,860,42,225
06091,Berazategui,14456,13676,14346,13892,14245,14018,14222,14203,13974,13876,12487,12604,12535,13052,11048,11615,9676,10126,8603,9018,7966,8173,7124,7908,6008,6817,4559,5513,3356,4123,2182,3222,1204,2232,469,1106,129,382,19,80
06260,Esteban Echeverr�a,14450,13993,13892,13388,14266,13702,14041,13848,13301,13543,12334,12414,11738,12100,10385,10948,8721,9276,7810,8237,7187,7322,6153,6545,5004,5367,3563,4047,2231,2967,1564,2331,883,1687,342,917,94,285,21,62
06270,Ezeiza,8357,8056,8195,8048,8366,8107,7827,7728,7582,7307,7086,7020,6855,6842,5930,5704,4636,4589,4175,4129,3550,3598,3055,3077,2372,2381,1552,1762,1053,1297,703,977,383,673,163,362,49,133,13,30
06274,Florencio Varela,22067,21156,21519,20670,22255,21681,21721,21346,19535,18899,17895,17039,16726,16462,14586,14738,12278,12005,10315,10494,8941,9159,7763,8309,6194,6827,4656,5097,3090,3740,1967,2713,910,1601,373,784,98,276,20,100
06371,General San Mart�n,15264,15041,15369,14873,15102,14906,15762,15876,16484,16763,16098,16003,15989,16082,14013,14746,12102,12812,11150,12262,10944,12002,10046,11424,8733,10500,6956,8746,5518,7949,4196,6745,2710,5166,1273,2995,316,981,69,230
06408,Hurlingham,6934,6685,6991,6899,6840,6861,7154,7211,7494,7432,7034,6981,6882,7109,6082,6164,5255,5450,4889,5517,4653,5286,4452,5169,3985,4565,3031,3697,2283,3043,1699,2562,1031,1944,440,966,128,335,21,87
06410,Ituzaing�,6024,5800,6479,6117,6186,6105,6526,6462,6659,6391,6079,5871,6254,6451,5852,6268,5443,5570,5005,5396,4456,5011,4166,4781,3733,4213,2892,3495,2180,2791,1654,2462,953,1853,474,1062,128,420,45,117
06412,Jos� C. Paz,13336,13170,12841,12495,13201,12709,12889,12757,11731,11948,10994,11090,10342,10365,8666,8733,7295,7439,6465,6831,6112,6418,5441,5681,4306,4648,3024,3489,2101,2622,1419,2066,715,1335,313,611,75,220,25,63
06427,La Matanza,81900,79331,78587,76355,79938,78925,81812,80971,76270,78600,69430,72302,68595,70821,60043,63080,52473,54387,47099,49166,41352,43956,36442,39708,31019,34525,23307,27322,16604,21928,11453,17022,6533,11865,2941,6263,739,2084,153,515
06434,Lan�s,16693,15732,16303,15594,16092,15606,16839,16764,17465,17748,17189,17534,17649,18186,15479,16001,13344,14270,12740,13867,12680,14169,11551,13539,10426,12221,7880,10334,6247,9122,5076,8346,3221,6530,1575,3402,378,1137,46,288
06490,Lomas de Zamora,25761,24738,24338,23562,24166,23676,25976,25133,25844,26077,24361,24614,23729,24429,20825,21586,17303,18862,16346,17686,15704,17246,13712,15851,11990,14367,9243,11979,7117,9880,5378,8290,3272,6260,1519,3464,387,1191,71,346
06515,Malvinas Argentinas,15009,14459,14787,14095,15180,14408,15092,14490,14011,13988,12739,12996,12618,12885,11007,11359,9348,9690,8502,8630,7680,7952,6753,7395,5761,6361,4351,4865,2972,3731,1876,2807,1008,1793,386,901,104,286,21,79
06539,Merlo,25027,24382,24234,23434,24925,24002,25120,24454,22998,23262,20668,21322,20785,20820,17485,17948,14675,15234,13410,14378,12542,13344,11257,12217,9396,10336,6819,7698,4539,5934,2884,4662,1675,3265,715,1671,221,562,42,152
06560,Moreno,23319,22090,21954,21360,22775,21622,22457,22026,20650,20430,18274,18436,17471,17930,15124,15873,12813,12966,11344,11610,10214,10696,8921,9515,7053,7401,4970,5658,3225,3992,2093,3020,1031,2111,462,988,115,397,26,93
06568,Mor�n,10551,10385,10911,10310,10698,10123,11223,10839,12313,11822,11597,11533,12312,12843,11312,11339,9392,10200,9185,9957,9067,10161,8226,10027,7908,8914,5778,7621,4525,6650,3832,6023,2606,5037,1300,2950,319,1011,74,235
06658,Quilmes,24910,24139,23794,22871,23731,22994,24135,24161,23987,24067,22579,23026,22722,23256,19703,20085,16526,17624,15435,16436,14735,15948,13081,15138,11538,13374,8805,10940,6574,9105,4779,7698,3033,5723,1394,3098,402,1042,65,290
